idbusinessinfo,clientname,week,estimated_load_date,pre_etd,etd,eta,vessel_voyage,pol,pod,businessinfocol,numctrs,type_ctrs,booking_no,master_no,num_hbls,container_no,shipping_line,freeddday,cost_org,sale_org,set_org,local_org,venta_dest,costhbl_dest_description,costhbl_dest,costhbl_dest_status,topaid_org_description,topaid_org,topaid_status,toinvoice_dest_description,toinvoice_dest,toinvoice_dest_status,profit,hbl_canjeado_status,devolution_ctrs_inidate,devolution_ctrs_findate,operation_status,bl_type,release_type
1,öéASIAMERIC,2021-W35,2021-09-09,2021-09-04,2021-09-12,2021-11-10,MSC JEWEL FA134A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN0A568A,MEDUNJ879752,,,MSC,14,15408,16000,15400,400,,,,,,,,,,,,,,,,,
2,öéASIAMERIC,2021-W35,2021-09-09,2021-09-04,2021-09-12,2021-11-10,MSC JEWEL FA134A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN0A565A,MEDUNJ879729,,,MSC,14,15408,16000,15400,400,,,,,,,,,,,,,,,,,
3,€~≈NUEVO SIGLO,2021-W37,2021-09-18,2021-09-16,2021-09-24,2021-11-05,KUALA LUMPUR EXPRESS 2137E,NINGBO,"Valparaiso,Chile",,1,40HQ,177FNBNBN0A590A,MEDUNJ948037,,,MSC,14,15408,16000,15500,0,,,,,,,,,,,,,,,,,
4,öéASIAMERIC,2021-W38,2021-09-28,2021-09-25,2021-10-04,2021-12-02,MSC BERYL FA137A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN0A578A,MEDUNL024506,,,MSC,14,15678,17000,16200,400,,,,,,,,,,,,,,,,,
5,öéASIAMERIC,2021-W38,2021-09-29,2021-09-25,2021-10-04,2021-12-02,MSC BERYL FA137A,NINGBO,"San Antonio,Chile",2 dias de uso d&d adicionales,1,40HQ,177FNBNBN0A579A,MEDUNL024514,,,MSC,14,15678,17000,16200,400,,,,,,,,,,,,,,,,,
6,€~≈NUEVO SIGLO,2021-W39,2021-09-30,2021-09-03,2021-10-06,2021-11-17,COCHRANE 2139E,NINGBO,"Valparaiso,Chile",1 dia uso d&d adicionales,1,40HQ,177FNBNBN0A623A,MEDUNL214313,,,MSC,14,15678,17000,16200,0,,,,,,,,,,,,,,,,,
7,€~≈NUEVO SIGLO,2021-W39,2021-10-09,2021-10-02,2021-10-15,2021-12-08,MSC RUBY FA138A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN0A620A,MEDUNL177338,,,MSC,14,15678,17000,16200,0,,,,,,,,,,,,,,,,,
8,öéASIAMERIC,2021-W39,2021-11-11,2021-10-02,2021-10-15,2021-12-08,MSC RUBY FA138A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN0A619A,MEDUNL177320,,,MSC,14,15678,17000,16200,400,,,,,,,,,,,,,,,,,
9,OMAS,2021-W43,,2021-10-03,,2021-12-11,MSC PHOENIX XA142A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN0A656A,MEDUNL403601,,,MSC,14,15435,16200,15800,0,,,,,,,,,,,,,,,,,
10,OMAS,2021-W43,,2021-10-03,,2021-12-11,MSC PHOENIX XA142A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN0A657A,MEDUNL403619,,,MSC,14,15435,16200,15800,0,,,,,,,,,,,,,,,,,
11,,2021-W42,,2021-10-21,2021-10-31,,CORCOVADO 2142E,NINGBO,"Valparaiso,Chile",NO ‰∫èËà±,1,40HQ,177FNBNBN0A686A,,,,MSC,14,,,,500,,,,,,,,,,,,,,,,,
